Grid_Index,Cluster_Label,Mean_Pixel_Value,Start_Row,Start_Col
0,57,238.4812,0,0
1,85,239.08573333333334,0,50
2,85,238.98826666666668,0,100
3,57,238.33866666666665,0,150
4,85,239.18426666666667,0,200
5,85,239.04773333333333,0,250
6,14,238.66786666666667,0,300
7,57,238.3068,0,350
8,57,238.4684,0,400
9,85,239.078,0,450
10,57,238.38946666666666,0,500
11,14,238.84466666666665,0,550
12,85,239.21293333333332,0,600
13,14,238.72786666666667,0,650
14,57,238.3996,0,700
15,85,239.0752,0,750
16,85,239.09066666666666,0,800
17,57,238.39493333333334,0,850
18,14,238.81133333333332,0,900
19,85,239.13386666666668,0,950
20,14,238.698,0,1000
21,91,237.91173333333333,0,1050
22,57,238.37893333333332,0,1100
23,14,238.68173333333334,0,1150
24,57,238.4076,0,1200
25,14,238.74226666666667,0,1250
26,85,239.1476,0,1300
27,14,238.77373333333333,0,1350
28,57,238.35186666666667,0,1400
29,85,238.95533333333333,0,1450
30,85,239.03106666666667,0,1500
31,57,238.4024,0,1550
32,14,238.60613333333333,0,1600
33,85,239.0064,0,1650
34,14,238.6548,0,1700
35,91,238.02,0,1750
36,91,237.59373333333335,0,1800
37,57,238.35853333333333,0,1850
38,91,238.02706666666666,0,1900
39,91,238.056,0,1950
40,14,238.59266666666667,0,2000
41,14,238.66906666666668,0,2050
42,91,237.918,0,2100
43,14,238.53453333333334,0,2150
44,14,238.59186666666668,0,2200
45,91,237.95266666666666,0,2250
46,57,238.23893333333334,0,2300
47,14,238.7616,0,2350
48,14,238.53,0,2400
49,91,238.0308,0,2450
50,14,238.69266666666667,0,2500
51,14,238.85333333333332,0,2550
52,57,238.25693333333334,0,2600
53,57,238.39186666666666,0,2650
54,14,238.86306666666667,0,2700
55,14,238.68666666666667,0,2750
56,91,238.0608,0,2800
57,91,237.98986666666667,0,2850
58,89,239.9216,0,2900
59,14,238.67933333333335,0,2950
60,57,238.406,0,3000
61,85,238.9256,0,3050
62,14,238.8564,0,3100
63,57,238.2388,0,3150
64,14,238.70266666666666,0,3200
65,14,238.75506666666666,0,3250
66,57,238.29906666666668,0,3300
67,57,238.2496,0,3350
68,85,238.88373333333334,0,3400
69,14,238.83306666666667,0,3450
70,57,238.2592,0,3500
71,14,238.7932,0,3550
72,85,239.03333333333333,0,3600
73,14,238.71786666666668,0,3650
74,14,238.604,0,3700
75,14,238.71866666666668,0,3750
76,89,239.9972,0,3800
77,14,238.8424,0,3850
78,85,239.08466666666666,0,3900
79,85,239.26106666666666,0,3950
80,14,238.64106666666666,0,4000
81,57,238.22586666666666,0,4050
82,14,238.84986666666666,0,4100
83,85,238.8712,0,4150
84,57,238.14426666666665,0,4200
85,57,238.41813333333334,0,4250
86,14,238.58986666666667,0,4300
87,74,222.0016,0,4350
88,44,150.53653333333332,0,4400
89,50,228.42626666666666,0,4450
90,14,238.71066666666667,0,4500
91,91,238.0608,0,4550
92,91,238.064,0,4600
93,39,239.77506666666667,0,4650
94,85,239.23146666666668,0,4700
95,14,238.5324,0,4750
96,85,239.06173333333334,0,4800
97,85,239.07013333333333,0,4850
98,14,238.556,0,4900
99,85,238.982,0,4950
100,39,239.3996,0,5000
101,85,238.978,0,5050
102,14,238.53093333333334,0,5100
103,85,239.1332,0,5150
104,85,239.2572,0,5200
105,14,238.69373333333334,0,5250
106,85,238.99226666666667,0,5300
107,39,239.5552,0,5350
108,85,239.24893333333333,0,5400
109,14,238.55906666666667,0,5450
110,85,239.21226666666666,0,5500
111,89,240.5488,0,5550
112,39,239.4712,0,5600
113,39,239.37186666666668,0,5650
114,39,239.72,0,5700
115,39,239.43373333333332,0,5750
116,14,238.76733333333334,0,5800
117,85,239.27373333333333,0,5850
118,39,239.40013333333334,0,5900
119,85,238.8708,0,5950
120,57,238.48346666666666,50,0
121,85,239.04746666666668,50,50
122,14,238.85146666666665,50,100
123,57,238.32,50,150
124,85,238.91453333333334,50,200
125,85,239.0072,50,250
126,14,238.53213333333332,50,300
127,57,238.356,50,350
128,14,238.52066666666667,50,400
129,85,238.91746666666666,50,450
130,57,238.2756,50,500
131,14,238.8104,50,550
132,85,239.04666666666665,50,600
133,14,238.65386666666666,50,650
134,57,238.36613333333332,50,700
135,85,238.97253333333333,50,750
136,14,238.81893333333332,50,800
137,57,238.2276,50,850
138,14,238.83786666666666,50,900
139,85,238.98053333333334,50,950
140,14,238.6256,50,1000
141,57,238.42826666666667,50,1050
142,85,239.00093333333334,50,1100
143,85,238.93653333333333,50,1150
144,57,238.40213333333332,50,1200
145,14,238.8104,50,1250
146,85,239.0744,50,1300
147,14,238.70853333333332,50,1350
148,57,238.40986666666666,50,1400
149,85,239.01133333333334,50,1450
150,85,238.93893333333332,50,1500
151,57,238.31346666666667,50,1550
152,14,238.65733333333333,50,1600
153,85,238.9172,50,1650
154,14,238.5676,50,1700
155,91,238.12026666666668,50,1750
156,14,238.54946666666666,50,1800
157,14,238.66533333333334,50,1850
158,91,237.93453333333332,50,1900
159,57,238.24946666666668,50,1950
160,85,238.93893333333332,50,2000
161,57,238.3552,50,2050
162,91,237.97573333333332,50,2100
163,14,238.57013333333333,50,2150
164,57,238.37053333333333,50,2200
165,91,237.82373333333334,50,2250
166,57,238.22493333333333,50,2300
167,14,238.69133333333335,50,2350
168,57,238.28573333333333,50,2400
169,91,237.9716,50,2450
170,14,238.70853333333332,50,2500
171,14,238.72093333333333,50,2550
172,57,238.18453333333332,50,2600
173,57,238.49306666666666,50,2650
174,85,238.90133333333333,50,2700
175,14,238.63346666666666,50,2750
176,57,238.17586666666668,50,2800
177,14,238.82813333333334,50,2850
178,85,239.16173333333333,50,2900
179,57,238.25933333333333,50,2950
180,14,238.56466666666665,50,3000
181,85,239.0212,50,3050
182,14,238.80933333333334,50,3100
183,57,238.28146666666666,50,3150
184,14,238.864,50,3200
185,57,238.4512,50,3250
186,57,238.32373333333334,50,3300
187,57,238.39426666666665,50,3350
188,85,238.91586666666666,50,3400
189,14,238.68213333333333,50,3450
190,57,238.22733333333332,50,3500
191,14,238.7688,50,3550
192,85,238.97973333333334,50,3600
193,14,238.63226666666668,50,3650
